1;0, -8
2;-64, 64
3;0, -512
4;-4096, 4096
5;0, -32768
6;-262144, 262144
7;0, -2097152
8;-16777216, 16777216
9;0, -134217728
10;-1073741824, 1073741824
11;0, -8589934592
12;-68719476736, 68719476736
13;0, -549755813888
14;-4398046511104, 4398046511104
15;0, -35184372088832
16;-281474976710656, 281474976710656
17;0, -2.25179981368525e+15
18;-1.8014398509482e+16, 1.8014398509482e+16
19;0, -1.44115188075856e+17
20;-1.15292150460685e+18, 1.15292150460685e+18
lambda;-4
